DOC_ID,DOC_TYPE,TITLE,DOC_TEXT,SUPPLIER_NAME,PART_NAME,PLANT_NAME,EVENT_DATE,SEVERITY,IS_SYNTHETIC
1,CONTRACT,NEXORA Master Supply Agreement - Force Majeure Clause,"Section 12.1 Force Majeure: Neither party shall be liable for delays caused by acts of God, war, government regulation, customs delays, or port closures. The affected party must provide written notice within 5 business days. If force majeure extends beyond 90 days, either party may terminate without penalty. NEXORA SEMICONDUCTORS Penang site is subject to extended customs inspection protocols under clause 12.1.3.",NEXORA SEMICONDUCTORS,,Asterion Guadalajara,2024-06-15,MAJOR,True
2,CONTRACT,NEXORA Liability Cap and LTB Rights,"Section 8.2 Liability: NEXORA total liability under this agreement shall not exceed 200% of the annual purchase volume. Section 15.3 Last Time Buy: Upon EOL notification, buyer has 180 days to place a final order. NEXORA must maintain 12 months of safety stock for allocated parts during the transition period.",NEXORA SEMICONDUCTORS,,,2024-06-15,,True
3,NCR,NCR-2026-0312 Cracked Ceramic Substrates,Non-conformance report for lot SZ-20260301-A from NEXORA Penang site. 14 of 200 ceramic substrates showed micro-cracks during incoming inspection. Root cause: excessive shock (4.2G peak) during ocean transit on Shenzhen-Guadalajara lane. Disposition: SCRAP. Corrective action: require shock-absorbing packaging and real-time IoT monitoring for all NEXORA ocean shipments on this lane.,NEXORA SEMICONDUCTORS,Ceramic Substrates,Asterion Guadalajara,2026-03-12,CRITICAL,True
4,NCR,NCR-2026-0415 Temperature Excursion,Non-conformance report for NEXORA memory IC shipment via Shenzhen-Guadalajara ocean lane. Container temperature exceeded 45C for 18 hours during customs hold at Manzanillo. 8% of ICs showed parametric drift beyond specification. Root cause: customs delay compounded by inadequate container cooling. Disposition: REWORK (re-test and re-screen).,NEXORA SEMICONDUCTORS,Memory ICs,Asterion Guadalajara,2026-04-15,MAJOR,True
5,SCORECARD,NEXORA Q2 2026 Supplier Scorecard,"NEXORA SEMICONDUCTORS quarterly performance review. OTD: 62% (target 90%, down from 78% in Q1). Quality PPM: 4,200 (target <1,000). Responsiveness: BELOW EXPECTATIONS — average RFQ response time 12 days vs 5-day target. Cost competitiveness: MEETS EXPECTATIONS. Overall rating: CRITICAL — requires immediate corrective action plan. Penang site is primary contributor to missed deliveries.",NEXORA SEMICONDUCTORS,,,2026-06-30,CRITICAL,True
6,ALERT,Customs Delay Alert - Shenzhen-Guadalajara Lane,"EXCEPTION ALERT SCN_2026_SHENZHEN_GUADALAJARA_CUSTOMS: Starting March 2026, new customs inspection protocols at Manzanillo port have increased clearance times from 2 days to 8-14 days for electronics shipments from China. Impact: 23 shipments delayed, 4 containers held for extended inspection. Affected suppliers: NEXORA, BLUEFORGE, and 3 others using this lane.",NEXORA SEMICONDUCTORS,,Asterion Guadalajara,2026-03-01,CRITICAL,True
7,SCORECARD,BLUEFORGE Q2 2026 Supplier Scorecard,"BLUEFORGE COMPONENTS quarterly review. OTD: 71% (target 90%). Quality: 2,800 PPM (target <1,000). Multiple lots with solder joint defects traced to process change at Shenzhen facility. Delivery delays primarily on ocean shipments through Manzanillo customs. Corrective action plan submitted but not yet validated.",BLUEFORGE COMPONENTS,,,2026-06-30,MAJOR,True
8,ECO,ECO-2026-0089 Alternate Source Qualification,Engineering Change Order to qualify STELLAR TECHNOLOGIES as alternate source for MCU-P00012 currently single-sourced from NEXORA Penang. Rationale: supply risk mitigation due to customs disruption on Shenzhen-Guadalajara lane. Estimated qualification timeline: 16 weeks. Affected products: PROD-0001 through PROD-0025.,NEXORA SEMICONDUCTORS,MCU-P00012,,2026-05-10,,True
9,ALERT,Single Source Risk Alert - Semiconductor Parts,"RISK ALERT: 47 semiconductor parts are single-sourced from NEXORA or BLUEFORGE. Combined annual spend at risk: $12.4M. Highest impact parts: MCU-P00012 (used in 18 products), DRAM-P00045 (used in 12 products). Recommendation: immediate qualification of alternate sources per ECO-2026-0089.",,,,2026-04-01,MAJOR,True
10,CONTRACT,PENTAWAVE Materials Supply Agreement,PENTAWAVE MATERIALS contract CTR-00015. Section 5.1: Price escalation capped at 3% annually. Section 9.2: Quality guarantee of <500 PPM. Section 11.1: Delivery tolerance window of -3 to +2 days from confirmed date. Section 14.1: Substitution rights — buyer may approve equivalent materials if lead time exceeds 60 days.,PENTAWAVE MATERIALS,,,2025-01-15,,True
